path,bytes,lines,classes,functions,syntax_error,class_names,function_names,constants,sha256
mugenforge/ff_plus.py,23607,557,0,21,,,"_timestamp, _backup, _write_file, _merge, _relative, ensure_ff_plus_workspace, make_hitbox_preset_library, _main_files, _installed_feature_ids, ff_plus_dashboard_report, generate_action_catalog, generate_asset_index, generate_move_list, write_smart_code_bank, generate_release_checklist, install_required_actions_library, install_smart_cancel_suite, install_training_suite, install_ff_plus_authoring_pack, one_click_fighter_factory_plus_pass, ff_plus_summary_after_result",,0a5a322daffca58bc5541a640f8ef6afb84095c0a08d8592810289b6599a8316
mugenforge/ff_plus_tools.py,26153,664,0,24,,,"_need_pillow, _safe_stem, image_files, wav_files, summarize_image_folder, make_sprite_contact_sheet, _trim_transparency, _place_on_canvas, normalize_sprite_folder, convert_images_to_pcx, make_animation_gif, make_air_from_image_sequence, build_sff_from_image_folder, build_act_from_folder, sound_cue_sheet, _first_def, project_move_summary, export_move_list, write_creator_manual, full_project_report, create_stage_from_image, write_mugen_launch_config, read_mugen_launch_config, launch_mugen","IMAGE_INPUT_EXTS, WAV_EXTS",8bcd399b82ecc2a1a24c3527fd8c2dbdecb3a61d6ba6116f5c7beda77e8209ae
mugenforge/forge_beyond.py,57024,1104,2,50,,"ForgeBeyondResult, ImageEditSpec","_timestamp, _uniq, _safe_name, _rel, _beyond_dir, _docs_dir, _reports_dir, _sheets_dir, _graphs_dir, _write_text, _write_json, _write_csv, _backup_text_file, _all_files, _code_files, _image_files, _wav_files, _first_int, _category_for_file, _discover_files, _commands_from_project, _state_controller_rows, import_archive_project, run_source_image_editor, write_capability_matrix, write_project_organizer_manifest, write_codesense_report, write_asset_deep_audit, write_unified_project_index, export_command_sheet","FORGE_BEYOND_VERSION, TEXT_SUFFIXES, CODE_SUFFIXES, IMAGE_SUFFIXES, AUDIO_SUFFIXES, SKIP_PARTS",7db55da8bceb2dd8d4f77904f7c4a589d8183934685284e7c50a7d6baf90455f
mugenforge/forge_flow.py,59382,1228,1,45,,ForgeFlowResult,"_timestamp, _uniq, _safe_name, _rel, _out, _write_text, _write_json, _write_csv, _read_csv, _all_files, _code_files, _image_files, _wav_files, _act_files, _truthy, _int, _float, _discover_files, _backup_file, _set_text_state, _project_stats, write_flow_mode_dashboard, _anim_elem_from_values, _parent_state_events, _sound_pair, build_move_flow_model, export_move_flow_sheet, _format_air_line, _find_state_targets_for_anim, _insert_playsnd_block","FORGE_FLOW_VERSION, CODE_SUFFIXES, TEXT_SUFFIXES, IMAGE_SUFFIXES, AUDIO_SUFFIXES, GENERATED_PARTS",a3eb79ede606c20387510b4d0d2c9be7f4fc6c375c9773aa04f4be84e133c25a
mugenforge/forge_polish.py,55665,1029,1,44,,ForgePolishResult,"_timestamp, _uniq, _safe_name, _rel, _out, _write_text, _write_json, _write_csv, _read_csv, _all_files, _code_files, _image_files, _discover_files, _int, _truthy, _backup_text_file, write_beginner_next_steps_dashboard, _issue, _issues_markdown, validate_command_sheet, validate_air_batch_sheet, validate_all_edit_sheets, _anim_elem, _sound_pair, export_sound_cue_apply_sheet, _insert_playsnd, apply_sound_cue_sheet, _sprite_key_from_name, _sprite_source_lookup, build_sprite_backed_timeline_preview","FORGE_POLISH_VERSION, CODE_SUFFIXES, IMAGE_SUFFIXES, TEXT_SUFFIXES, SAFE_TEMPLATE_EXTS, BLOCKED_TEMPLATE_EXTS, SKIP_PARTS, GENERATED_PARTS",5415056ba9064ce3002cec3691f9b4894a90111de29f10d557bb8102eccac91e
mugenforge/forge_timeline.py,81371,1666,1,58,,ForgeTimelineResult,"_timestamp, _uniq, _safe_name, _rel, _out, _write_text, _write_json, _write_csv, _read_csv, _all_files, _code_files, _image_files, _palette_files, _discover_files, _int, _float, _truthy, _backup_text_file, _read_air_actions, _first_int_in, _parse_int_pair, _trigger_anim_elem, _state_records, _code_events, _events_by_anim, build_integrated_move_timeline_model, _timeline_html, _draw_integrated_timeline_png, export_move_timeline_edit_sheet, _replace_air_frame_lines","FORGE_TIMELINE_VERSION, CODE_SUFFIXES, TEXT_SUFFIXES, IMAGE_SUFFIXES, PALETTE_SUFFIXES, SKIP_PARTS, GENERATED_PARTS",bf3245e0b61f6d6132543cc9411abecdfea748580c8a404d561f1aeddda57990
mugenforge/gap_closer.py,56805,1133,1,44,,GapCloserResult,"_uniq, _now, _rel, _gap_dir, _write_text, _write_json, _write_csv, _read_csv, _backup_file, _sha256, _main_def, _project_files, _code_files, _char_name, _first_int, _numbers, write_gap_closer_dashboard, _limitation_status, probe_engine_profile, _guess_engine_kind, _recommended_profile_templates, _probe_command, build_source_runtime_model, _runtime_risk, _build_static_traces, build_engine_scenario_sessions, _scenario_rows, _slug, build_engine_backed_readiness_gate, _evidence_files","GAP_CLOSER_VERSION, CODE_EXTS, BINARY_EXTS, EVIDENCE_EXTS",88dc7832539a1a421053ad773461fe62ed363d13d07be6a052e85a25877bb380
mugenforge/handoff_core.py,25399,628,1,25,,HandoffResult,"_uniq, _rel, _out, _write, _write_json, _write_csv, _sha256, _iter_files, _module_summary, _find_app_title, _tab_names, _project_summary, _is_package_root, _package_root_for, collect_package_inventory, write_package_inventory, write_context_digest, _roadmap_rows, write_roadmap_backlog, write_honest_scope_ledger, write_next_chat_prompt, write_development_handoff, write_regression_harness, build_handoff_bundle, run_handoff_core_pass","HANDOFF_CORE_VERSION, TEXT_EXTS, SKIP_DIRS",448cb64ebef4d651628d8698c59c3e50c3add70b62db6ed4dcf8ef09382b9914
mugenforge/maintenance_core.py,38666,863,1,26,,MaintenanceResult,"_unique, _repo_root, _package_dir, _mc_dir, _rel, _write, _write_json, _write_csv, _sha256, _iter_files, _module_files, _safe_read, _parse_ast, _callable_signature, _unparse, _project_stats, write_maintainer_dashboard, write_module_api_catalog, write_ui_tab_inventory, write_release_lineage, write_honesty_claims_audit, write_regression_test_scripts, write_maintenance_backlog, write_handoff_for_next_chat, build_maintenance_bundle, run_maintenance_core_pass","MAINTENANCE_CORE_VERSION, TEXT_EXTS, DOC_EXTS, SKIP_DIRS",fe68517f1226c379006313b20a23c3a6c154c3c5e0a1cc272ed8def9f33f6bf4
mugenforge/move_wizard.py,9331,319,2,12,,"MoveWizardSpec, MoveWizardPackage","_safe_int, normalize_spec, command_block, attack_state_block, projectile_state_block, movement_state_block, air_block, build_move_package, find_def_file, find_character_file, append_block, append_move_to_project",,3cfc33072e55e4ab2e5e878fcc50d8a7da9503211c10aca8c3e98fb0d1b1bc1f
